Source,Destination,Start,End,Md5,UploadId,Source Size,Bytes Transferred,Result,Description
file://.\Core\Procesamiento\Procesamiento.php,gs://lectalocal/MD/Core/Procesamiento/Procesamiento.php,2020-11-23T15:50:37.128043Z,2020-11-23T15:50:37.773974Z,GPraJ4rRub6Whddt+i0RaQ==,,7785,7785,OK,
file://.\Core\Procesamiento\Excel\1600783310.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600783310.xlsx,2020-11-23T15:50:37.153041Z,2020-11-23T15:50:37.794971Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\userloginSessions.php,gs://lectalocal/MD/Core/Procesamiento/userloginSessions.php,2020-11-23T15:50:37.135052Z,2020-11-23T15:50:37.796988Z,VGCR0kVG+V5nA9u46l49Rw==,,307,307,OK,
file://.\Core\Procesamiento\Excel\1600801681.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600801681.xlsx,2020-11-23T15:50:37.267405Z,2020-11-23T15:50:37.805031Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\Excel\1BaseActualizar.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1BaseActualizar.xlsx,2020-11-23T15:50:37.289407Z,2020-11-23T15:50:37.876903Z,7wLhf2j7UZu6kpz/gGbp4g==,,8387,8387,OK,
file://.\Core\Procesamiento\Excel\1600783797.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600783797.xlsx,2020-11-23T15:50:37.237404Z,2020-11-23T15:50:37.876903Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\Excel\1600801710.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/1600801710.xlsx,2020-11-23T15:50:37.287463Z,2020-11-23T15:50:37.921038Z,HRc5Hs6RXTguoe7YJPPmnA==,,8773,8773,OK,
file://.\Core\Procesamiento\Excel\simplexlsx.class.php,gs://lectalocal/MD/Core/Procesamiento/Excel/simplexlsx.class.php,2020-11-23T15:50:37.529761Z,2020-11-23T15:50:38.204560Z,sZoZ20Kg/EPKLCI0ik+ajA==,,12608,12608,OK,
file://.\Core\Procesamiento\Excel\ReasignarVisitas.xlsx,gs://lectalocal/MD/Core/Procesamiento/Excel/ReasignarVisitas.xlsx,2020-11-23T15:50:37.504670Z,2020-11-23T15:50:38.212559Z,7wLhf2j7UZu6kpz/gGbp4g==,,8387,8387,OK,
file://.\Core\Procesamiento\Excel\simplexlsx.class - copia.php,gs://lectalocal/MD/Core/Procesamiento/Excel/simplexlsx.class - copia.php,2020-11-23T15:50:37.526706Z,2020-11-23T15:50:38.222557Z,sZoZ20Kg/EPKLCI0ik+ajA==,,12608,12608,OK,
file://.\Core\Procesamiento\Excel\CargaBase.php,gs://lectalocal/MD/Core/Procesamiento/Excel/CargaBase.php,2020-11-23T15:50:37.320428Z,2020-11-23T15:50:38.230577Z,4/4Ef6HEiN61yuMg7T9rEg==,,32730,32730,OK,
file://.\Core\Reportes\Cepos.php,gs://lectalocal/MD/Core/Reportes/Cepos.php,2020-11-23T15:50:37.542733Z,2020-11-23T15:50:38.242555Z,3IRUY8PKpviEOm5tbgp4EQ==,,1161,1161,OK,
file://.\Core\Reportes\rptActividadesResumen.php,gs://lectalocal/MD/Core/Reportes/rptActividadesResumen.php,2020-11-23T15:50:37.555707Z,2020-11-23T15:50:38.254557Z,icNpRfS/Bu1t4SI0za9o9A==,,3540,3540,OK,
file://.\Core\Reportes\rptBusquedas.php,gs://lectalocal/MD/Core/Reportes/rptBusquedas.php,2020-11-23T15:50:37.575713Z,2020-11-23T15:50:38.255557Z,WeXrYdYIXgnPQzbXiArIvg==,,5727,5727,OK,
file://.\Core\Reportes\rptDetalleActividades.php,gs://lectalocal/MD/Core/Reportes/rptDetalleActividades.php,2020-11-23T15:50:37.581709Z,2020-11-23T15:50:38.281556Z,7ekvRR4o+E/+msAn9w+Msg==,,5184,5184,OK,
file://.\Core\Procesamiento\Excel\CargaBaseEspecialEnel.php,gs://lectalocal/MD/Core/Procesamiento/Excel/CargaBaseEspecialEnel.php,2020-11-23T15:50:37.469638Z,2020-11-23T15:50:38.286556Z,IqT6IUe603d4v1OWX7BItQ==,,30833,30833,OK,
file://.\Core\Reportes\rptDetalleActividadesEspecialEnel.php,gs://lectalocal/MD/Core/Reportes/rptDetalleActividadesEspecialEnel.php,2020-11-23T15:50:37.669216Z,2020-11-23T15:50:38.300558Z,X2R16UV7vx92T3iOMlJdFQ==,,6365,6365,OK,
file://.\Core\Procesamiento\Excel\SimpleXLSX.php,gs://lectalocal/MD/Core/Procesamiento/Excel/SimpleXLSX.php,2020-11-23T15:50:37.540706Z,2020-11-23T15:50:38.322608Z,1DwtbMulBadVIG2es8tvqQ==,,28696,28696,OK,
file://.\Core\Reportes\rptDetalleActividadesEspecialEnelParametro.php,gs://lectalocal/MD/Core/Reportes/rptDetalleActividadesEspecialEnelParametro.php,2020-11-23T15:50:37.730108Z,2020-11-23T15:50:38.408998Z,tH55LLsjVNSuEZvh/BdYEA==,,6371,6371,OK,
file://.\Core\Reportes\rptDetalleActividadesRango.php,gs://lectalocal/MD/Core/Reportes/rptDetalleActividadesRango.php,2020-11-23T15:50:37.746991Z,2020-11-23T15:50:38.410986Z,Z6Hmt6tix9VOBnT1nyKD2g==,,6388,6388,OK,
file://.\Core\Reportes\rptProduccion.php,gs://lectalocal/MD/Core/Reportes/rptProduccion.php,2020-11-23T15:50:37.777975Z,2020-11-23T15:50:38.411989Z,/26w5ORKPlJGzFwz2mn1rg==,,3107,3107,OK,
file://.\Core\Reportes\rptSeguimientoDetallado.php,gs://lectalocal/MD/Core/Reportes/rptSeguimientoDetallado.php,2020-11-23T15:50:37.802981Z,2020-11-23T15:50:38.425986Z,6c9XC3YUnjxXZwLwuUtPOw==,,4410,4410,OK,
file://.\Core\Reportes\rptSeguimiento.php,gs://lectalocal/MD/Core/Reportes/rptSeguimiento.php,2020-11-23T15:50:37.798018Z,2020-11-23T15:50:38.434987Z,2I/2SKKfspIDlvsSGQy0/w==,,5445,5445,OK,
